rank,multiplicity,source_records,distinct_rings,duplicates,literal_repeats,new_labellings,commutative,noncommutative,published_search_status
1,1,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,1,2,2,0,0,0,2,0,reported_complete_not_independently_regenerated
2,2,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,3,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,4,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,5,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,6,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,7,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,8,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,9,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,10,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,11,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,12,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,13,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,14,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,15,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
2,16,1,1,0,0,0,1,0,reported_complete_not_independently_regenerated
3,1,4,4,0,0,0,4,0,reported_complete_not_independently_regenerated
3,2,3,3,0,0,0,3,0,reported_complete_not_independently_regenerated
3,3,4,4,0,0,0,4,0,reported_complete_not_independently_regenerated
3,4,6,6,0,0,0,6,0,reported_complete_not_independently_regenerated
3,5,5,5,0,0,0,5,0,reported_complete_not_independently_regenerated
3,6,9,9,0,0,0,9,0,reported_complete_not_independently_regenerated
3,7,6,6,0,0,0,6,0,reported_complete_not_independently_regenerated
3,8,10,10,0,0,0,10,0,reported_complete_not_independently_regenerated
3,9,12,12,0,0,0,12,0,reported_complete_not_independently_regenerated
3,10,9,9,0,0,0,9,0,reported_complete_not_independently_regenerated
3,11,10,10,0,0,0,10,0,reported_complete_not_independently_regenerated
3,12,20,20,0,0,0,20,0,reported_complete_not_independently_regenerated
3,13,9,9,0,0,0,9,0,reported_complete_not_independently_regenerated
3,14,13,13,0,0,0,13,0,reported_complete_not_independently_regenerated
3,15,16,16,0,0,0,16,0,reported_complete_not_independently_regenerated
3,16,25,25,0,0,0,25,0,reported_complete_not_independently_regenerated
4,1,10,10,0,0,0,10,0,reported_complete_not_independently_regenerated
4,2,17,17,0,0,0,17,0,reported_complete_not_independently_regenerated
4,3,24,24,0,0,0,24,0,reported_complete_not_independently_regenerated
4,4,45,45,0,0,0,45,0,reported_complete_not_independently_regenerated
4,5,55,55,0,0,0,55,0,reported_complete_not_independently_regenerated
4,6,81,81,0,0,0,81,0,reported_complete_not_independently_regenerated
4,7,92,92,0,0,0,92,0,reported_complete_not_independently_regenerated
4,8,137,137,0,0,0,137,0,reported_complete_not_independently_regenerated
4,9,151,151,0,0,0,151,0,reported_complete_not_independently_regenerated
4,10,186,186,0,0,0,186,0,reported_complete_not_independently_regenerated
4,11,238,238,0,0,0,238,0,reported_complete_not_independently_regenerated
4,12,291,291,0,0,0,291,0,reported_complete_not_independently_regenerated
4,13,246,246,0,0,0,246,0,reported_complete_not_independently_regenerated
4,14,340,340,0,0,0,340,0,reported_complete_not_independently_regenerated
4,15,349,349,0,0,0,349,0,reported_complete_not_independently_regenerated
4,16,525,525,0,0,0,525,0,reported_complete_not_independently_regenerated
5,1,16,16,0,0,0,16,0,reported_complete_not_independently_regenerated
5,2,37,37,0,0,0,37,0,reported_complete_not_independently_regenerated
5,3,82,82,0,0,0,82,0,reported_complete_not_independently_regenerated
5,4,134,134,0,0,0,134,0,reported_complete_not_independently_regenerated
5,5,209,209,0,0,0,209,0,reported_complete_not_independently_regenerated
5,6,336,336,0,0,0,336,0,reported_complete_not_independently_regenerated
5,7,477,477,0,0,0,477,0,reported_complete_not_independently_regenerated
5,8,733,733,0,0,0,733,0,reported_complete_not_independently_regenerated
5,9,1463,863,600,541,59,863,0,reported_complete_not_independently_regenerated
5,10,1794,1082,712,636,76,1082,0,reported_complete_not_independently_regenerated
5,11,2283,1383,900,792,108,1383,0,reported_complete_not_independently_regenerated
5,12,3049,1948,1101,1004,97,1948,0,reported_complete_not_independently_regenerated
5,13,1300,1300,0,0,0,1300,0,partial_search_lower_bound
5,14,1323,1323,0,0,0,1323,0,partial_search_lower_bound
5,15,1550,1550,0,0,0,1550,0,partial_search_lower_bound
5,16,1925,1925,0,0,0,1925,0,partial_search_lower_bound
6,1,39,39,0,0,0,37,2,reported_complete_not_independently_regenerated
6,2,154,154,0,0,0,152,2,reported_complete_not_independently_regenerated
6,3,384,384,0,0,0,383,1,reported_complete_not_independently_regenerated
6,4,872,872,0,0,0,871,1,reported_complete_not_independently_regenerated
6,5,533,533,0,0,0,532,1,partial_search_lower_bound
6,6,872,872,0,0,0,870,2,partial_search_lower_bound
6,7,976,976,0,0,0,974,2,partial_search_lower_bound
6,8,1672,1672,0,0,0,1670,2,partial_search_lower_bound
7,1,43,43,0,0,0,40,3,reported_complete_not_independently_regenerated
7,2,319,319,0,0,0,314,5,reported_complete_not_independently_regenerated
7,3,562,562,0,0,0,556,6,partial_search_lower_bound
7,4,1236,1236,0,0,0,1230,6,partial_search_lower_bound
8,1,96,96,0,0,0,77,19,reported_complete_not_independently_regenerated
8,2,874,874,0,0,0,834,40,partial_search_lower_bound
9,1,142,142,0,0,0,116,26,reported_complete_not_independently_regenerated
