source_line,representative_source_line,clean_line,rank,multiplicity,kind,permutation_source_to_representative
11486,11485,11485,5,9,literal_repeat,0;1;2;3;4
11488,11487,11486,5,9,literal_repeat,0;1;2;3;4
11491,11490,11488,5,9,literal_repeat,0;1;2;3;4
11494,11493,11490,5,9,literal_repeat,0;1;2;3;4
11512,11511,11507,5,9,literal_repeat,0;1;2;3;4
11517,11516,11511,5,9,literal_repeat,0;1;2;3;4
11520,11519,11513,5,9,literal_repeat,0;1;2;3;4
11530,11529,11522,5,9,literal_repeat,0;1;2;3;4
11533,11532,11524,5,9,literal_repeat,0;1;2;3;4
11537,11536,11527,5,9,literal_repeat,0;1;2;3;4
11540,11539,11529,5,9,literal_repeat,0;1;2;3;4
11559,11558,11547,5,9,literal_repeat,0;1;2;3;4
11561,11560,11548,5,9,literal_repeat,0;1;2;3;4
11566,11565,11552,5,9,literal_repeat,0;1;2;3;4
11568,11567,11553,5,9,literal_repeat,0;1;2;3;4
11571,11570,11555,5,9,literal_repeat,0;1;2;3;4
11573,11572,11556,5,9,literal_repeat,0;1;2;3;4
11577,11576,11559,5,9,literal_repeat,0;1;2;3;4
11579,11578,11560,5,9,literal_repeat,0;1;2;3;4
11582,11581,11562,5,9,literal_repeat,0;1;2;3;4
11585,11584,11564,5,9,literal_repeat,0;1;2;3;4
11587,11586,11565,5,9,literal_repeat,0;1;2;3;4
11590,11589,11567,5,9,literal_repeat,0;1;2;3;4
11594,11593,11570,5,9,literal_repeat,0;1;2;3;4
11597,11596,11572,5,9,literal_repeat,0;1;2;3;4
11602,11601,11576,5,9,new_labelling,0;2;3;1;4
11605,11604,11578,5,9,literal_repeat,0;1;2;3;4
11609,11608,11581,5,9,literal_repeat,0;1;2;3;4
11613,11612,11584,5,9,literal_repeat,0;1;2;3;4
11621,11620,11591,5,9,literal_repeat,0;1;2;3;4
11623,11622,11592,5,9,literal_repeat,0;1;2;3;4
11626,11625,11594,5,9,literal_repeat,0;1;2;3;4
11630,11629,11597,5,9,literal_repeat,0;1;2;3;4
11632,11631,11598,5,9,literal_repeat,0;1;2;3;4
11639,11638,11604,5,9,new_labelling,0;2;1;3;4
11641,11640,11605,5,9,literal_repeat,0;1;2;3;4
11649,11648,11612,5,9,literal_repeat,0;1;2;3;4
11651,11650,11613,5,9,literal_repeat,0;1;2;3;4
11658,11657,11619,5,9,literal_repeat,0;1;2;3;4
11661,11660,11621,5,9,literal_repeat,0;1;2;3;4
11664,11663,11623,5,9,literal_repeat,0;1;2;3;4
11667,11666,11625,5,9,literal_repeat,0;1;2;3;4
11669,11668,11626,5,9,literal_repeat,0;1;2;3;4
11671,11670,11627,5,9,literal_repeat,0;1;2;3;4
11679,11678,11634,5,9,literal_repeat,0;1;2;3;4
11686,11685,11640,5,9,new_labelling,0;1;2;4;3
11689,11688,11642,5,9,new_labelling,0;1;3;2;4
11691,11690,11643,5,9,new_labelling,0;1;3;2;4
11693,11692,11644,5,9,new_labelling,0;1;2;4;3
11702,11701,11652,5,9,literal_repeat,0;1;2;3;4
11708,11707,11657,5,9,literal_repeat,0;1;2;3;4
11710,11709,11658,5,9,literal_repeat,0;1;2;3;4
11713,11712,11660,5,9,literal_repeat,0;1;2;3;4
11715,11714,11661,5,9,literal_repeat,0;1;2;3;4
11718,11717,11663,5,9,new_labelling,0;3;2;1;4
11724,11723,11668,5,9,literal_repeat,0;1;2;3;4
11726,11725,11669,5,9,literal_repeat,0;1;2;3;4
11728,11727,11670,5,9,literal_repeat,0;1;2;3;4
11730,11729,11671,5,9,literal_repeat,0;1;2;3;4
11734,11733,11674,5,9,literal_repeat,0;1;2;3;4
11736,11735,11675,5,9,literal_repeat,0;1;2;3;4
11738,11737,11676,5,9,literal_repeat,0;1;2;3;4
11741,11740,11678,5,9,literal_repeat,0;1;2;3;4
11743,11742,11679,5,9,new_labelling,0;1;2;4;3
11745,11744,11680,5,9,literal_repeat,0;1;2;3;4
11747,11746,11681,5,9,literal_repeat,0;1;2;3;4
11749,11748,11682,5,9,literal_repeat,0;1;2;3;4
11752,11751,11684,5,9,literal_repeat,0;1;2;3;4
11754,11753,11685,5,9,literal_repeat,0;1;2;3;4
11757,11756,11687,5,9,literal_repeat,0;1;2;3;4
11759,11758,11688,5,9,literal_repeat,0;1;2;3;4
11761,11760,11689,5,9,literal_repeat,0;1;2;3;4
11763,11762,11690,5,9,literal_repeat,0;1;2;3;4
11765,11764,11691,5,9,literal_repeat,0;1;2;3;4
11767,11766,11692,5,9,literal_repeat,0;1;2;3;4
11770,11769,11694,5,9,literal_repeat,0;1;2;3;4
11773,11772,11696,5,9,literal_repeat,0;1;2;3;4
11775,11774,11697,5,9,literal_repeat,0;1;2;3;4
11780,11779,11701,5,9,literal_repeat,0;1;2;3;4
11782,11781,11702,5,9,literal_repeat,0;1;2;3;4
11785,11784,11704,5,9,literal_repeat,0;1;2;3;4
11787,11786,11705,5,9,literal_repeat,0;1;2;3;4
11789,11788,11706,5,9,literal_repeat,0;1;2;3;4
11793,11792,11709,5,9,literal_repeat,0;1;2;3;4
11796,11795,11711,5,9,literal_repeat,0;1;2;3;4
11800,11799,11714,5,9,literal_repeat,0;1;2;3;4
11802,11801,11715,5,9,literal_repeat,0;1;2;3;4
11806,11805,11718,5,9,literal_repeat,0;1;2;3;4
11808,11807,11719,5,9,literal_repeat,0;1;2;3;4
11810,11809,11720,5,9,literal_repeat,0;1;2;3;4
11812,11811,11721,5,9,literal_repeat,0;1;2;3;4
11815,11814,11723,5,9,literal_repeat,0;1;2;3;4
11820,11819,11727,5,9,literal_repeat,0;1;2;3;4
11822,11821,11728,5,9,literal_repeat,0;1;2;3;4
11824,11823,11729,5,9,literal_repeat,0;1;2;3;4
11828,11827,11732,5,9,new_labelling,0;2;1;3;4
11830,11829,11733,5,9,literal_repeat,0;1;2;3;4
11832,11831,11734,5,9,new_labelling,0;1;3;2;4
11834,11833,11735,5,9,literal_repeat,0;1;2;3;4
11836,11835,11736,5,9,new_labelling,0;1;3;2;4
11840,11839,11739,5,9,literal_repeat,0;1;2;3;4
11842,11841,11740,5,9,literal_repeat,0;1;2;3;4
11844,11843,11741,5,9,literal_repeat,0;1;2;3;4
11846,11845,11742,5,9,literal_repeat,0;1;2;3;4
11848,11847,11743,5,9,literal_repeat,0;1;2;3;4
11850,11849,11744,5,9,new_labelling,0;1;3;2;4
11852,11851,11745,5,9,literal_repeat,0;1;2;3;4
11856,11855,11748,5,9,literal_repeat,0;1;2;3;4
11858,11857,11749,5,9,literal_repeat,0;1;2;3;4
11860,11859,11750,5,9,literal_repeat,0;1;2;3;4
11862,11861,11751,5,9,literal_repeat,0;1;2;3;4
11864,11863,11752,5,9,literal_repeat,0;1;2;3;4
11870,11869,11757,5,9,literal_repeat,0;1;2;3;4
11877,11876,11763,5,9,literal_repeat,0;1;2;3;4
11879,11878,11764,5,9,literal_repeat,0;1;2;3;4
11881,11880,11765,5,9,literal_repeat,0;1;2;3;4
11883,11882,11766,5,9,literal_repeat,0;1;2;3;4
11885,11884,11767,5,9,literal_repeat,0;1;2;3;4
11887,11886,11768,5,9,literal_repeat,0;1;2;3;4
11889,11888,11769,5,9,literal_repeat,0;1;2;3;4
11892,11891,11771,5,9,literal_repeat,0;1;2;3;4
11895,11894,11773,5,9,literal_repeat,0;1;2;3;4
11898,11897,11775,5,9,literal_repeat,0;1;2;3;4
11900,11899,11776,5,9,literal_repeat,0;1;2;3;4
11904,11903,11779,5,9,literal_repeat,0;1;2;3;4
11906,11905,11780,5,9,literal_repeat,0;1;2;3;4
11908,11907,11781,5,9,literal_repeat,0;1;2;3;4
11910,11909,11782,5,9,literal_repeat,0;1;2;3;4
11912,11911,11783,5,9,literal_repeat,0;1;2;3;4
11914,11913,11784,5,9,literal_repeat,0;1;2;3;4
11916,11915,11785,5,9,literal_repeat,0;1;2;3;4
11918,11917,11786,5,9,literal_repeat,0;1;2;3;4
11920,11919,11787,5,9,literal_repeat,0;1;2;3;4
11922,11921,11788,5,9,literal_repeat,0;1;2;3;4
11924,11923,11789,5,9,literal_repeat,0;1;2;3;4
11927,11926,11791,5,9,literal_repeat,0;1;2;3;4
11929,11928,11792,5,9,literal_repeat,0;1;2;3;4
11932,11931,11794,5,9,literal_repeat,0;1;2;3;4
11934,11933,11795,5,9,literal_repeat,0;1;2;3;4
11936,11935,11796,5,9,literal_repeat,0;1;2;3;4
11938,11937,11797,5,9,literal_repeat,0;1;2;3;4
11941,11940,11799,5,9,literal_repeat,0;1;2;3;4
11943,11942,11800,5,9,literal_repeat,0;1;2;3;4
11946,11945,11802,5,9,literal_repeat,0;1;2;3;4
11951,11950,11806,5,9,literal_repeat,0;1;2;3;4
11953,11952,11807,5,9,literal_repeat,0;1;2;3;4
11955,11954,11808,5,9,literal_repeat,0;1;2;3;4
11958,11957,11810,5,9,literal_repeat,0;1;2;3;4
11960,11959,11811,5,9,literal_repeat,0;1;2;3;4
11962,11961,11812,5,9,literal_repeat,0;1;2;3;4
11964,11963,11813,5,9,literal_repeat,0;1;2;3;4
11966,11965,11814,5,9,literal_repeat,0;1;2;3;4
11971,11970,11818,5,9,literal_repeat,0;1;2;3;4
11973,11972,11819,5,9,literal_repeat,0;1;2;3;4
11978,11977,11823,5,9,literal_repeat,0;1;2;3;4
11980,11979,11824,5,9,literal_repeat,0;1;2;3;4
11986,11985,11829,5,9,literal_repeat,0;1;2;3;4
11988,11987,11830,5,9,literal_repeat,0;1;2;3;4
11990,11989,11831,5,9,literal_repeat,0;1;2;3;4
11992,11991,11832,5,9,literal_repeat,0;1;2;3;4
11994,11993,11833,5,9,literal_repeat,0;1;2;3;4
11996,11995,11834,5,9,literal_repeat,0;1;2;3;4
11998,11997,11835,5,9,literal_repeat,0;1;2;3;4
12000,11999,11836,5,9,new_labelling,0;1;3;2;4
12002,12001,11837,5,9,literal_repeat,0;1;2;3;4
12009,12008,11843,5,9,literal_repeat,0;1;2;3;4
12011,12010,11844,5,9,literal_repeat,0;1;2;3;4
12013,12012,11845,5,9,literal_repeat,0;1;2;3;4
12015,12014,11846,5,9,literal_repeat,0;1;2;3;4
12018,12017,11848,5,9,literal_repeat,0;1;2;3;4
12020,12019,11849,5,9,literal_repeat,0;1;2;3;4
12022,12021,11850,5,9,literal_repeat,0;1;2;3;4
12025,12024,11852,5,9,literal_repeat,0;1;2;3;4
12027,12026,11853,5,9,new_labelling,0;2;1;3;4
12029,12028,11854,5,9,literal_repeat,0;1;2;3;4
12031,12030,11855,5,9,literal_repeat,0;1;2;3;4
12033,12032,11856,5,9,literal_repeat,0;1;2;3;4
12035,12034,11857,5,9,literal_repeat,0;1;2;3;4
12037,12036,11858,5,9,literal_repeat,0;1;2;3;4
12039,12038,11859,5,9,literal_repeat,0;1;2;3;4
12043,12042,11862,5,9,literal_repeat,0;1;2;3;4
12045,12044,11863,5,9,literal_repeat,0;1;2;3;4
12047,12046,11864,5,9,literal_repeat,0;1;2;3;4
12049,12048,11865,5,9,literal_repeat,0;1;2;3;4
12051,12050,11866,5,9,literal_repeat,0;1;2;3;4
12054,12053,11868,5,9,literal_repeat,0;1;2;3;4
12056,12055,11869,5,9,literal_repeat,0;1;2;3;4
12058,12057,11870,5,9,literal_repeat,0;1;2;3;4
12061,12060,11872,5,9,literal_repeat,0;1;2;3;4
12063,12062,11873,5,9,literal_repeat,0;1;2;3;4
12066,12065,11875,5,9,literal_repeat,0;1;2;3;4
12068,12067,11876,5,9,literal_repeat,0;1;2;3;4
12070,12069,11877,5,9,literal_repeat,0;1;2;3;4
12072,12071,11878,5,9,literal_repeat,0;1;2;3;4
12074,12073,11879,5,9,literal_repeat,0;1;2;3;4
12076,12075,11880,5,9,literal_repeat,0;1;2;3;4
12079,12078,11882,5,9,literal_repeat,0;1;2;3;4
12081,12080,11883,5,9,literal_repeat,0;1;2;3;4
12083,12082,11884,5,9,literal_repeat,0;1;2;3;4
12085,12084,11885,5,9,literal_repeat,0;1;2;3;4
12087,12086,11886,5,9,literal_repeat,0;1;2;3;4
12089,12088,11887,5,9,literal_repeat,0;1;2;3;4
12091,12090,11888,5,9,literal_repeat,0;1;2;3;4
12093,12092,11889,5,9,literal_repeat,0;1;2;3;4
12095,12094,11890,5,9,literal_repeat,0;1;2;3;4
12097,12096,11891,5,9,literal_repeat,0;1;2;3;4
12100,12099,11893,5,9,literal_repeat,0;1;2;3;4
12103,12102,11895,5,9,literal_repeat,0;1;2;3;4
12105,12104,11896,5,9,literal_repeat,0;1;2;3;4
12108,12107,11898,5,9,literal_repeat,0;1;2;3;4
12110,12109,11899,5,9,literal_repeat,0;1;2;3;4
12112,12111,11900,5,9,literal_repeat,0;1;2;3;4
12114,12113,11901,5,9,literal_repeat,0;1;2;3;4
12117,12116,11903,5,9,literal_repeat,0;1;2;3;4
12119,12118,11904,5,9,literal_repeat,0;1;2;3;4
12121,12120,11905,5,9,literal_repeat,0;1;2;3;4
12124,12123,11907,5,9,literal_repeat,0;1;2;3;4
12126,12125,11908,5,9,literal_repeat,0;1;2;3;4
12128,12127,11909,5,9,literal_repeat,0;1;2;3;4
12130,12129,11910,5,9,new_labelling,0;1;3;2;4
12132,12131,11911,5,9,literal_repeat,0;1;2;3;4
12134,12133,11912,5,9,new_labelling,0;1;3;2;4
12136,12135,11913,5,9,literal_repeat,0;1;2;3;4
12138,12137,11914,5,9,literal_repeat,0;1;2;3;4
12140,12139,11915,5,9,literal_repeat,0;1;2;3;4
12142,12141,11916,5,9,new_labelling,0;1;3;2;4
12144,12143,11917,5,9,literal_repeat,0;1;2;3;4
12146,12145,11918,5,9,new_labelling,0;1;3;2;4
12148,12147,11919,5,9,new_labelling,0;1;3;2;4
12150,12149,11920,5,9,literal_repeat,0;1;2;3;4
