source_line,representative_source_line,clean_line,rank,multiplicity,kind,permutation_source_to_representative
1,1,1,1,1,retained,0
2,2,2,2,1,retained,0;1
3,3,3,2,1,retained,0;1
4,4,4,3,1,retained,0;1;2
5,5,5,3,1,retained,0;1;2
6,6,6,3,1,retained,0;1;2
7,7,7,3,1,retained,0;1;2
8,8,8,4,1,retained,0;1;2;3
9,9,9,4,1,retained,0;1;2;3
10,10,10,4,1,retained,0;1;2;3
11,11,11,4,1,retained,0;1;2;3
12,12,12,4,1,retained,0;1;2;3
13,13,13,4,1,retained,0;1;2;3
14,14,14,4,1,retained,0;1;2;3
15,15,15,4,1,retained,0;1;2;3
16,16,16,4,1,retained,0;1;2;3
17,17,17,4,1,retained,0;1;2;3
18,18,18,5,1,retained,0;1;2;3;4
19,19,19,5,1,retained,0;1;2;3;4
20,20,20,5,1,retained,0;1;2;3;4
21,21,21,5,1,retained,0;1;2;3;4
22,22,22,5,1,retained,0;1;2;3;4
23,23,23,5,1,retained,0;1;2;3;4
24,24,24,5,1,retained,0;1;2;3;4
25,25,25,5,1,retained,0;1;2;3;4
26,26,26,5,1,retained,0;1;2;3;4
27,27,27,5,1,retained,0;1;2;3;4
28,28,28,5,1,retained,0;1;2;3;4
29,29,29,5,1,retained,0;1;2;3;4
30,30,30,5,1,retained,0;1;2;3;4
31,31,31,5,1,retained,0;1;2;3;4
32,32,32,5,1,retained,0;1;2;3;4
33,33,33,5,1,retained,0;1;2;3;4
34,34,34,6,1,retained,0;1;2;3;4;5
35,35,35,6,1,retained,0;1;2;3;4;5
36,36,36,6,1,retained,0;1;2;3;4;5
37,37,37,6,1,retained,0;1;2;3;4;5
38,38,38,6,1,retained,0;1;2;3;4;5
39,39,39,6,1,retained,0;1;2;3;4;5
40,40,40,6,1,retained,0;1;2;3;4;5
41,41,41,6,1,retained,0;1;2;3;4;5
42,42,42,6,1,retained,0;1;2;3;4;5
43,43,43,6,1,retained,0;1;2;3;4;5
44,44,44,6,1,retained,0;1;2;3;4;5
45,45,45,6,1,retained,0;1;2;3;4;5
46,46,46,6,1,retained,0;1;2;3;4;5
47,47,47,6,1,retained,0;1;2;3;4;5
48,48,48,6,1,retained,0;1;2;3;4;5
49,49,49,6,1,retained,0;1;2;3;4;5
50,50,50,6,1,retained,0;1;2;3;4;5
51,51,51,6,1,retained,0;1;2;3;4;5
52,52,52,6,1,retained,0;1;2;3;4;5
53,53,53,6,1,retained,0;1;2;3;4;5
54,54,54,6,1,retained,0;1;2;3;4;5
55,55,55,6,1,retained,0;1;2;3;4;5
56,56,56,6,1,retained,0;1;2;3;4;5
57,57,57,6,1,retained,0;1;2;3;4;5
58,58,58,6,1,retained,0;1;2;3;4;5
59,59,59,6,1,retained,0;1;2;3;4;5
60,60,60,6,1,retained,0;1;2;3;4;5
61,61,61,6,1,retained,0;1;2;3;4;5
62,62,62,6,1,retained,0;1;2;3;4;5
63,63,63,6,1,retained,0;1;2;3;4;5
64,64,64,6,1,retained,0;1;2;3;4;5
65,65,65,6,1,retained,0;1;2;3;4;5
66,66,66,6,1,retained,0;1;2;3;4;5
67,67,67,6,1,retained,0;1;2;3;4;5
68,68,68,6,1,retained,0;1;2;3;4;5
69,69,69,6,1,retained,0;1;2;3;4;5
70,70,70,6,1,retained,0;1;2;3;4;5
71,71,71,6,1,retained,0;1;2;3;4;5
72,72,72,6,1,retained,0;1;2;3;4;5
73,73,73,7,1,retained,0;1;2;3;4;5;6
74,74,74,7,1,retained,0;1;2;3;4;5;6
75,75,75,7,1,retained,0;1;2;3;4;5;6
76,76,76,7,1,retained,0;1;2;3;4;5;6
77,77,77,7,1,retained,0;1;2;3;4;5;6
78,78,78,7,1,retained,0;1;2;3;4;5;6
79,79,79,7,1,retained,0;1;2;3;4;5;6
80,80,80,7,1,retained,0;1;2;3;4;5;6
81,81,81,7,1,retained,0;1;2;3;4;5;6
82,82,82,7,1,retained,0;1;2;3;4;5;6
83,83,83,7,1,retained,0;1;2;3;4;5;6
84,84,84,7,1,retained,0;1;2;3;4;5;6
85,85,85,7,1,retained,0;1;2;3;4;5;6
86,86,86,7,1,retained,0;1;2;3;4;5;6
87,87,87,7,1,retained,0;1;2;3;4;5;6
88,88,88,7,1,retained,0;1;2;3;4;5;6
89,89,89,7,1,retained,0;1;2;3;4;5;6
90,90,90,7,1,retained,0;1;2;3;4;5;6
91,91,91,7,1,retained,0;1;2;3;4;5;6
92,92,92,7,1,retained,0;1;2;3;4;5;6
93,93,93,7,1,retained,0;1;2;3;4;5;6
94,94,94,7,1,retained,0;1;2;3;4;5;6
95,95,95,7,1,retained,0;1;2;3;4;5;6
96,96,96,7,1,retained,0;1;2;3;4;5;6
97,97,97,7,1,retained,0;1;2;3;4;5;6
