rank,multiplicity,classes
3,1,4
3,2,3
3,3,4
3,4,6
3,5,5
3,6,9
3,7,6
3,8,10
3,9,12
3,10,9
3,11,10
3,12,20
3,13,9
3,14,13
3,15,16
3,16,25
3,17,11
3,18,18
3,19,20
3,20,22
3,21,24
3,22,12
3,23,22
3,24,44
3,25,19
3,26,28
3,27,20
3,28,22
3,29,25
3,30,42
3,31,24
3,32,40
3,33,36
3,34,30
3,35,24
3,36,55
3,37,33
3,38,16
3,39,36
3,40,58
3,41,29
3,42,48
3,43,34
3,44,52
3,45,48
3,46,34
3,47,38
3,48,82
3,49,46
3,50,25
3,51,58
3,52,28
3,53,39
3,54,74
3,55,40
3,56,80
3,57,40
3,58,47
3,59,54
3,60,95
3,61,61
3,62,39
3,63,48
3,64,75
3,65,62
3,66,78
3,67,50
3,68,60
3,69,50
3,70,64
3,71,58
3,72,142
3,73,51
3,74,39
3,75,88
3,76,68
3,77,50
3,78,76
3,79,60
3,80,96
3,81,68
3,82,56
3,83,68
3,84,156
3,85,58
3,86,84
3,87,80
3,88,86
3,89,91
3,90,90
3,91,72
3,92,69
3,93,74
3,94,80
3,95,78
3,96,212
3,97,65
3,98,64
3,99,104
3,100,111
3,101,75
3,102,68
3,103,76
3,104,118
3,105,118
3,106,75
3,107,76
3,108,72
3,109,87
3,110,119
3,111,128
3,112,134
3,113,87
3,114,169
3,115,70
3,116,72
3,117,126
3,118,70
3,119,86
3,120,272
3,121,110
3,122,95
3,123,106
3,124,124
3,125,103
3,126,140
3,127,94
3,128,156
3,129,114
3,130,64
3,131,100
3,132,142
3,133,100
3,134,84
3,135,158
3,136,187
3,137,101
3,138,154
3,139,112
3,140,126
3,141,120
3,142,114
3,143,90
3,144,283
3,145,104
3,146,91
3,147,112
3,148,116
3,149,125
3,150,197
3,151,124
3,152,159
3,153,142
3,154,104
3,155,118
3,156,284
3,157,113
3,158,90
3,159,152
3,160,188
3,161,154
3,162,128
3,163,136
3,164,180
3,165,142
3,166,156
3,167,114
3,168,296
3,169,137
3,170,140
3,171,126
3,172,154
3,173,121
3,174,150
3,175,164
3,176,198
3,177,174
3,178,107
3,179,148
3,180,364
3,181,129
3,182,117
3,183,108
3,184,228
3,185,140
3,186,241
3,187,158
3,188,120
3,189,218
3,190,136
3,191,156
3,192,256
3,193,137
3,194,183
3,195,160
3,196,143
3,197,135
3,198,225
3,199,152
3,200,251
3,201,230
3,202,141
3,203,126
3,204,238
3,205,190
3,206,144
3,207,172
3,208,266
3,209,164
3,210,327
3,211,174
3,212,160
3,213,180
3,214,146
3,215,166
3,216,442
3,217,152
3,218,141
3,219,272
3,220,162
3,221,174
3,222,154
3,223,154
3,224,333
3,225,160
3,226,129
3,227,182
3,228,324
3,229,193
3,230,144
3,231,252
3,232,224
3,233,185
3,234,197
3,235,192
3,236,252
3,237,194
3,238,152
3,239,194
3,240,640
3,241,195
3,242,134
3,243,262
3,244,175
3,245,170
3,246,262
3,247,196
3,248,238
3,249,178
3,250,215
3,251,184
3,252,392
3,253,168
3,254,196
3,255,252
3,256,223
3,257,225
3,258,239
3,259,180
3,260,236
3,261,264
3,262,160
3,263,192
3,264,657
3,265,234
3,266,233
3,267,186
3,268,256
3,269,197
3,270,278
3,271,222
3,272,194
3,273,242
3,274,203
3,275,246
3,276,380
3,277,185
3,278,198
3,279,280
3,280,418
3,281,221
3,282,268
3,283,202
3,284,191
3,285,334
3,286,248
3,287,214
3,288,307
3,289,279
3,290,228
3,291,246
3,292,196
3,293,215
3,294,380
3,295,186
3,296,482
3,297,194
3,298,165
3,299,252
3,300,328
3,301,234
3,302,172
3,303,248
3,304,424
3,305,220
3,306,434
3,307,222
3,308,284
3,309,314
3,310,191
3,311,234
3,312,592
3,313,247
3,314,235
3,315,394
3,316,262
3,317,259
3,318,274
3,319,244
3,320,576
3,321,252
3,322,208
3,323,224
3,324,527
3,325,220
3,326,236
3,327,312
3,328,206
3,329,216
3,330,464
3,331,314
3,332,264
3,333,248
3,334,214
3,335,216
3,336,696
3,337,253
3,338,225
3,339,262
3,340,322
3,341,294
3,342,328
3,343,270
3,344,305
3,345,456
3,346,206
3,347,246
3,348,527
3,349,273
3,350,292
3,351,336
3,352,418
3,353,267
3,354,357
3,355,300
3,356,254
3,357,342
3,358,218
3,359,358
3,360,702
3,361,272
3,362,221
