rank,multiplicity,classes
4,1,10
4,2,17
4,3,24
4,4,45
4,5,55
4,6,81
4,7,92
4,8,137
4,9,151
4,10,186
4,11,238
4,12,291
4,13,246
4,14,340
4,15,349
4,16,525
4,17,424
4,18,477
4,19,513
4,20,713
4,21,704
4,22,668
4,23,654
4,24,1121
4,25,868
4,26,938
4,27,989
4,28,1286
4,29,1356
4,30,1347
4,31,1220
4,32,1671
4,33,1460
4,34,1579
4,35,1613
4,36,2301
4,37,1646
4,38,1824
4,39,2111
4,40,2653
4,41,2131
4,42,2588
4,43,2169
4,44,2857
4,45,2699
4,46,2639
4,47,2452
4,48,3985
4,49,2947
4,50,3314
4,51,3378
4,52,3776
4,53,3250
4,54,3704
4,55,3785
4,56,5213
4,57,4182
4,58,3863
4,59,3987
4,60,6004
4,61,4383
4,62,4472
4,63,5150
4,64,6557
4,65,5107
4,66,5773
4,67,4791
4,68,6260
4,69,6001
4,70,6205
4,71,5799
4,72,8710
4,73,5858
4,74,6223
4,75,7280
4,76,9507
4,77,6953
4,78,7917
4,79,6933
4,80,10208
4,81,8031
4,82,7939
4,83,7408
4,84,10993
4,85,8464
4,86,8568
4,87,9088
4,88,11767
4,89,9145
4,90,10765
4,91,9896
4,92,11188
4,93,10385
4,94,10153
4,95,10048
4,96,15447
4,97,10003
4,98,11249
4,99,12082
4,100,14037
4,101,11361
4,102,13068
4,103,10861
4,104,16150
4,105,14958
4,106,12338
4,107,12102
4,108,16509
4,109,12849
4,110,14390
4,111,15119
4,112,18964
4,113,13293
4,114,16769
4,115,14900
4,116,17484
4,117,16252
4,118,14963
4,119,16058
4,120,25126
4,121,16103
4,122,15670
4,123,17292
4,124,19682
4,125,17760
4,126,20720
4,127,17015
4,128,23185
