source_line,representative_source_line,clean_line,rank,multiplicity,kind,permutation_source_to_representative
1,1,1,5,3,retained,0;1;2;3;4
2,2,2,5,4,retained,0;1;2;3;4
3,3,3,5,5,retained,0;1;2;3;4
4,4,4,5,3,retained,0;1;2;3;4
5,5,5,5,6,retained,0;1;2;3;4
6,6,6,5,4,retained,0;1;2;3;4
7,7,7,5,7,retained,0;1;2;3;4
8,8,8,5,5,retained,0;1;2;3;4
9,9,9,5,8,retained,0;1;2;3;4
10,10,10,5,6,retained,0;1;2;3;4
11,11,11,5,9,retained,0;1;2;3;4
12,12,12,5,7,retained,0;1;2;3;4
13,13,13,5,10,retained,0;1;2;3;4
14,14,14,5,8,retained,0;1;2;3;4
15,15,15,5,11,retained,0;1;2;3;4
16,16,16,5,9,retained,0;1;2;3;4
17,17,17,5,12,retained,0;1;2;3;4
18,18,18,5,10,retained,0;1;2;3;4
19,19,19,5,13,retained,0;1;2;3;4
20,20,20,5,11,retained,0;1;2;3;4
21,21,21,5,14,retained,0;1;2;3;4
22,22,22,5,12,retained,0;1;2;3;4
23,23,23,5,15,retained,0;1;2;3;4
24,24,24,5,13,retained,0;1;2;3;4
25,25,25,5,16,retained,0;1;2;3;4
26,26,26,5,14,retained,0;1;2;3;4
27,27,27,5,17,retained,0;1;2;3;4
28,28,28,5,15,retained,0;1;2;3;4
29,29,29,5,18,retained,0;1;2;3;4
30,30,30,5,16,retained,0;1;2;3;4
31,31,31,5,19,retained,0;1;2;3;4
32,32,32,5,17,retained,0;1;2;3;4
33,33,33,5,20,retained,0;1;2;3;4
34,34,34,5,18,retained,0;1;2;3;4
35,35,35,5,19,retained,0;1;2;3;4
36,36,36,5,20,retained,0;1;2;3;4
37,37,37,5,1,retained,0;1;2;3;4
38,38,38,5,1,retained,0;1;2;3;4
39,39,39,5,4,retained,0;1;2;3;4
40,40,40,5,9,retained,0;1;2;3;4
41,41,41,5,16,retained,0;1;2;3;4
42,42,42,5,7,retained,0;1;2;3;4
43,43,43,5,7,retained,0;1;2;3;4
44,44,44,5,15,retained,0;1;2;3;4
45,45,45,5,17,retained,0;1;2;3;4
46,46,46,5,20,retained,0;1;2;3;4
47,47,47,5,1,retained,0;1;2;3;4
48,48,48,5,1,retained,0;1;2;3;4
49,49,49,5,2,retained,0;1;2;3;4
50,50,50,5,3,retained,0;1;2;3;4
51,51,51,5,4,retained,0;1;2;3;4
52,52,52,5,5,retained,0;1;2;3;4
53,53,53,5,6,retained,0;1;2;3;4
54,54,54,5,7,retained,0;1;2;3;4
55,55,55,5,8,retained,0;1;2;3;4
56,56,56,5,9,retained,0;1;2;3;4
57,57,57,5,10,retained,0;1;2;3;4
58,58,58,5,11,retained,0;1;2;3;4
59,59,59,5,12,retained,0;1;2;3;4
60,60,60,5,13,retained,0;1;2;3;4
61,61,61,5,14,retained,0;1;2;3;4
62,62,62,5,15,retained,0;1;2;3;4
63,63,63,5,16,retained,0;1;2;3;4
64,64,64,5,17,retained,0;1;2;3;4
65,65,65,5,18,retained,0;1;2;3;4
66,66,66,5,19,retained,0;1;2;3;4
67,67,67,5,20,retained,0;1;2;3;4
68,68,68,5,1,retained,0;1;2;3;4
69,69,69,5,3,retained,0;1;2;3;4
70,70,70,5,14,retained,0;1;2;3;4
71,71,71,5,2,retained,0;1;2;3;4
72,72,72,5,12,retained,0;1;2;3;4
73,73,73,5,6,retained,0;1;2;3;4
74,74,74,5,4,retained,0;1;2;3;4
75,75,75,5,5,retained,0;1;2;3;4
76,76,76,5,9,retained,0;1;2;3;4
77,77,77,5,6,retained,0;1;2;3;4
78,78,78,5,12,retained,0;1;2;3;4
79,79,79,5,17,retained,0;1;2;3;4
80,80,80,5,8,retained,0;1;2;3;4
81,81,81,5,9,retained,0;1;2;3;4
82,82,82,5,15,retained,0;1;2;3;4
83,83,83,5,10,retained,0;1;2;3;4
84,84,84,5,18,retained,0;1;2;3;4
85,85,85,5,12,retained,0;1;2;3;4
86,86,86,5,13,retained,0;1;2;3;4
87,87,87,5,14,retained,0;1;2;3;4
88,88,88,5,16,retained,0;1;2;3;4
89,89,89,5,17,retained,0;1;2;3;4
90,90,90,5,18,retained,0;1;2;3;4
91,91,91,5,18,retained,0;1;2;3;4
92,92,92,5,20,retained,0;1;2;3;4
93,93,93,5,2,retained,0;1;2;3;4
94,94,94,5,2,retained,0;1;2;3;4
95,95,95,5,2,retained,0;1;2;3;4
96,96,96,5,6,retained,0;1;2;3;4
97,97,97,5,12,retained,0;1;2;3;4
98,98,98,5,20,retained,0;1;2;3;4
99,99,99,5,3,retained,0;1;2;3;4
100,100,100,5,8,retained,0;1;2;3;4
101,101,101,5,20,retained,0;1;2;3;4
102,102,102,5,11,retained,0;1;2;3;4
103,103,103,5,12,retained,0;1;2;3;4
104,104,104,5,13,retained,0;1;2;3;4
105,105,105,5,13,retained,0;1;2;3;4
106,106,106,5,3,retained,0;1;2;3;4
107,107,107,5,3,retained,0;1;2;3;4
108,108,108,5,10,retained,0;1;2;3;4
109,109,109,5,3,retained,0;1;2;3;4
110,110,110,5,20,retained,0;1;2;3;4
111,111,111,5,4,retained,0;1;2;3;4
112,112,112,5,17,retained,0;1;2;3;4
113,113,113,5,13,retained,0;1;2;3;4
114,114,114,5,19,retained,0;1;2;3;4
115,115,115,5,4,retained,0;1;2;3;4
116,116,116,5,4,retained,0;1;2;3;4
117,117,117,5,4,retained,0;1;2;3;4
118,118,118,5,8,retained,0;1;2;3;4
