source_line,representative_source_line,clean_line,rank,multiplicity,kind,permutation_source_to_representative
1,1,1,8,2,retained,0;1;2;3;4;5;6;7
2,2,2,8,2,retained,0;1;2;3;4;5;6;7
3,3,3,8,2,retained,0;1;2;3;4;5;6;7
4,4,4,8,2,retained,0;1;2;3;4;5;6;7
5,5,5,8,2,retained,0;1;2;3;4;5;6;7
6,6,6,8,2,retained,0;1;2;3;4;5;6;7
7,7,7,8,1,retained,0;1;2;3;4;5;6;7
8,8,8,8,2,retained,0;1;2;3;4;5;6;7
9,9,9,8,2,retained,0;1;2;3;4;5;6;7
10,10,10,8,1,retained,0;1;2;3;4;5;6;7
11,11,11,8,2,retained,0;1;2;3;4;5;6;7
12,12,12,8,2,retained,0;1;2;3;4;5;6;7
13,13,13,8,2,retained,0;1;2;3;4;5;6;7
14,14,14,8,2,retained,0;1;2;3;4;5;6;7
15,15,15,8,2,retained,0;1;2;3;4;5;6;7
16,16,16,8,2,retained,0;1;2;3;4;5;6;7
17,17,17,8,2,retained,0;1;2;3;4;5;6;7
18,18,18,8,2,retained,0;1;2;3;4;5;6;7
19,19,19,8,2,retained,0;1;2;3;4;5;6;7
20,20,20,8,2,retained,0;1;2;3;4;5;6;7
21,21,21,8,2,retained,0;1;2;3;4;5;6;7
22,22,22,8,2,retained,0;1;2;3;4;5;6;7
23,23,23,8,2,retained,0;1;2;3;4;5;6;7
24,24,24,8,1,retained,0;1;2;3;4;5;6;7
25,25,25,8,1,retained,0;1;2;3;4;5;6;7
26,26,26,8,2,retained,0;1;2;3;4;5;6;7
27,27,27,8,1,retained,0;1;2;3;4;5;6;7
28,28,28,8,2,retained,0;1;2;3;4;5;6;7
29,29,29,8,2,retained,0;1;2;3;4;5;6;7
30,30,30,8,2,retained,0;1;2;3;4;5;6;7
31,31,31,8,2,retained,0;1;2;3;4;5;6;7
32,32,32,8,1,retained,0;1;2;3;4;5;6;7
33,33,33,8,2,retained,0;1;2;3;4;5;6;7
34,34,34,8,2,retained,0;1;2;3;4;5;6;7
35,35,35,8,1,retained,0;1;2;3;4;5;6;7
36,36,36,8,1,retained,0;1;2;3;4;5;6;7
37,37,37,8,2,retained,0;1;2;3;4;5;6;7
38,38,38,8,1,retained,0;1;2;3;4;5;6;7
39,39,39,8,2,retained,0;1;2;3;4;5;6;7
40,40,40,8,2,retained,0;1;2;3;4;5;6;7
41,41,41,8,1,retained,0;1;2;3;4;5;6;7
42,42,42,8,2,retained,0;1;2;3;4;5;6;7
43,43,43,8,2,retained,0;1;2;3;4;5;6;7
44,44,44,8,2,retained,0;1;2;3;4;5;6;7
45,45,45,8,1,retained,0;1;2;3;4;5;6;7
46,46,46,8,2,retained,0;1;2;3;4;5;6;7
47,47,47,8,2,retained,0;1;2;3;4;5;6;7
48,48,48,8,2,retained,0;1;2;3;4;5;6;7
49,49,49,8,2,retained,0;1;2;3;4;5;6;7
50,50,50,8,1,retained,0;1;2;3;4;5;6;7
51,51,51,8,2,retained,0;1;2;3;4;5;6;7
52,52,52,8,2,retained,0;1;2;3;4;5;6;7
53,53,53,8,2,retained,0;1;2;3;4;5;6;7
54,54,54,8,2,retained,0;1;2;3;4;5;6;7
55,55,55,8,2,retained,0;1;2;3;4;5;6;7
56,56,56,8,1,retained,0;1;2;3;4;5;6;7
57,57,57,8,2,retained,0;1;2;3;4;5;6;7
58,58,58,8,2,retained,0;1;2;3;4;5;6;7
59,59,59,8,2,retained,0;1;2;3;4;5;6;7
60,60,60,8,1,retained,0;1;2;3;4;5;6;7
61,61,61,8,2,retained,0;1;2;3;4;5;6;7
62,62,62,8,2,retained,0;1;2;3;4;5;6;7
63,63,63,8,2,retained,0;1;2;3;4;5;6;7
64,64,64,8,2,retained,0;1;2;3;4;5;6;7
65,65,65,8,2,retained,0;1;2;3;4;5;6;7
66,66,66,8,1,retained,0;1;2;3;4;5;6;7
67,67,67,8,2,retained,0;1;2;3;4;5;6;7
68,68,68,8,2,retained,0;1;2;3;4;5;6;7
69,69,69,8,2,retained,0;1;2;3;4;5;6;7
70,70,70,8,2,retained,0;1;2;3;4;5;6;7
71,71,71,8,2,retained,0;1;2;3;4;5;6;7
72,72,72,8,2,retained,0;1;2;3;4;5;6;7
73,73,73,8,2,retained,0;1;2;3;4;5;6;7
74,74,74,8,2,retained,0;1;2;3;4;5;6;7
75,75,75,8,2,retained,0;1;2;3;4;5;6;7
76,76,76,8,2,retained,0;1;2;3;4;5;6;7
77,77,77,8,2,retained,0;1;2;3;4;5;6;7
78,78,78,8,2,retained,0;1;2;3;4;5;6;7
79,79,79,8,2,retained,0;1;2;3;4;5;6;7
80,80,80,8,2,retained,0;1;2;3;4;5;6;7
81,81,81,8,2,retained,0;1;2;3;4;5;6;7
82,82,82,8,2,retained,0;1;2;3;4;5;6;7
83,83,83,8,2,retained,0;1;2;3;4;5;6;7
84,84,84,8,2,retained,0;1;2;3;4;5;6;7
85,85,85,8,2,retained,0;1;2;3;4;5;6;7
86,86,86,8,2,retained,0;1;2;3;4;5;6;7
87,87,87,8,2,retained,0;1;2;3;4;5;6;7
88,88,88,8,2,retained,0;1;2;3;4;5;6;7
89,89,89,8,1,retained,0;1;2;3;4;5;6;7
90,90,90,8,2,retained,0;1;2;3;4;5;6;7
91,91,91,8,2,retained,0;1;2;3;4;5;6;7
92,92,92,8,2,retained,0;1;2;3;4;5;6;7
93,93,93,8,2,retained,0;1;2;3;4;5;6;7
94,94,94,8,2,retained,0;1;2;3;4;5;6;7
95,95,95,8,2,retained,0;1;2;3;4;5;6;7
96,96,96,8,2,retained,0;1;2;3;4;5;6;7
97,97,97,8,2,retained,0;1;2;3;4;5;6;7
98,98,98,8,2,retained,0;1;2;3;4;5;6;7
99,99,99,8,2,retained,0;1;2;3;4;5;6;7
100,100,100,8,2,retained,0;1;2;3;4;5;6;7
101,101,101,8,1,retained,0;1;2;3;4;5;6;7
102,102,102,8,2,retained,0;1;2;3;4;5;6;7
103,103,103,8,2,retained,0;1;2;3;4;5;6;7
104,104,104,8,2,retained,0;1;2;3;4;5;6;7
105,105,105,8,2,retained,0;1;2;3;4;5;6;7
106,106,106,8,2,retained,0;1;2;3;4;5;6;7
107,107,107,8,2,retained,0;1;2;3;4;5;6;7
108,108,108,8,2,retained,0;1;2;3;4;5;6;7
109,109,109,8,2,retained,0;1;2;3;4;5;6;7
110,110,110,8,2,retained,0;1;2;3;4;5;6;7
111,111,111,8,2,retained,0;1;2;3;4;5;6;7
112,112,112,8,2,retained,0;1;2;3;4;5;6;7
113,113,113,8,2,retained,0;1;2;3;4;5;6;7
114,114,114,8,2,retained,0;1;2;3;4;5;6;7
115,115,115,8,2,retained,0;1;2;3;4;5;6;7
116,116,116,8,2,retained,0;1;2;3;4;5;6;7
117,117,117,8,2,retained,0;1;2;3;4;5;6;7
118,118,118,8,2,retained,0;1;2;3;4;5;6;7
119,119,119,8,2,retained,0;1;2;3;4;5;6;7
120,120,120,8,2,retained,0;1;2;3;4;5;6;7
121,121,121,8,2,retained,0;1;2;3;4;5;6;7
122,122,122,8,2,retained,0;1;2;3;4;5;6;7
123,123,123,8,2,retained,0;1;2;3;4;5;6;7
124,124,124,8,2,retained,0;1;2;3;4;5;6;7
125,125,125,8,2,retained,0;1;2;3;4;5;6;7
126,126,126,8,2,retained,0;1;2;3;4;5;6;7
127,127,127,8,2,retained,0;1;2;3;4;5;6;7
128,128,128,8,2,retained,0;1;2;3;4;5;6;7
129,129,129,8,2,retained,0;1;2;3;4;5;6;7
130,130,130,8,2,retained,0;1;2;3;4;5;6;7
131,131,131,8,2,retained,0;1;2;3;4;5;6;7
132,132,132,8,2,retained,0;1;2;3;4;5;6;7
133,133,133,8,2,retained,0;1;2;3;4;5;6;7
134,134,134,8,1,retained,0;1;2;3;4;5;6;7
135,135,135,8,2,retained,0;1;2;3;4;5;6;7
136,136,136,8,2,retained,0;1;2;3;4;5;6;7
137,137,137,8,2,retained,0;1;2;3;4;5;6;7
138,138,138,8,2,retained,0;1;2;3;4;5;6;7
139,139,139,8,2,retained,0;1;2;3;4;5;6;7
140,140,140,8,2,retained,0;1;2;3;4;5;6;7
141,141,141,8,2,retained,0;1;2;3;4;5;6;7
142,142,142,8,2,retained,0;1;2;3;4;5;6;7
143,143,143,8,2,retained,0;1;2;3;4;5;6;7
144,144,144,8,2,retained,0;1;2;3;4;5;6;7
145,145,145,8,2,retained,0;1;2;3;4;5;6;7
146,146,146,8,2,retained,0;1;2;3;4;5;6;7
147,147,147,8,2,retained,0;1;2;3;4;5;6;7
148,148,148,8,2,retained,0;1;2;3;4;5;6;7
149,149,149,8,2,retained,0;1;2;3;4;5;6;7
150,150,150,8,2,retained,0;1;2;3;4;5;6;7
151,151,151,8,2,retained,0;1;2;3;4;5;6;7
152,152,152,8,2,retained,0;1;2;3;4;5;6;7
153,153,153,8,2,retained,0;1;2;3;4;5;6;7
