rank,multiplicity,source_records,distinct_rings,duplicates,literal_repeats,new_labellings,commutative,noncommutative
4,1,20,10,10,10,0,10,0
4,2,34,17,17,12,5,17,0
4,3,48,24,24,15,9,24,0
4,4,90,45,45,22,23,45,0
4,5,110,55,55,25,30,55,0
4,6,162,81,81,28,53,81,0
4,7,184,92,92,37,55,92,0
4,8,274,137,137,43,94,137,0
4,9,302,151,151,50,101,151,0
4,10,372,186,186,55,131,186,0
4,11,476,238,238,67,171,238,0
4,12,582,291,291,88,203,291,0
4,13,492,246,246,61,185,246,0
4,14,680,340,340,87,253,340,0
4,15,698,349,349,88,261,349,0
4,16,1050,525,525,121,404,525,0
4,17,424,424,0,0,0,424,0
4,18,477,477,0,0,0,477,0
4,19,513,513,0,0,0,513,0
4,20,713,713,0,0,0,713,0
4,21,704,704,0,0,0,704,0
4,22,668,668,0,0,0,668,0
4,23,654,654,0,0,0,654,0
4,24,1121,1121,0,0,0,1121,0
4,25,868,868,0,0,0,868,0
4,26,938,938,0,0,0,938,0
4,27,989,989,0,0,0,989,0
4,28,1286,1286,0,0,0,1286,0
4,29,1356,1356,0,0,0,1356,0
4,30,1347,1347,0,0,0,1347,0
4,31,1220,1220,0,0,0,1220,0
4,32,1671,1671,0,0,0,1671,0
4,33,1460,1460,0,0,0,1460,0
4,34,1579,1579,0,0,0,1579,0
4,35,1613,1613,0,0,0,1613,0
4,36,2301,2301,0,0,0,2301,0
4,37,1646,1646,0,0,0,1646,0
4,38,1824,1824,0,0,0,1824,0
4,39,2111,2111,0,0,0,2111,0
4,40,2653,2653,0,0,0,2653,0
4,41,2131,2131,0,0,0,2131,0
4,42,2588,2588,0,0,0,2588,0
4,43,2169,2169,0,0,0,2169,0
4,44,2857,2857,0,0,0,2857,0
4,45,2699,2699,0,0,0,2699,0
4,46,2639,2639,0,0,0,2639,0
4,47,2452,2452,0,0,0,2452,0
4,48,3985,3985,0,0,0,3985,0
4,49,2947,2947,0,0,0,2947,0
4,50,3314,3314,0,0,0,3314,0
4,51,3378,3378,0,0,0,3378,0
4,52,3776,3776,0,0,0,3776,0
4,53,3250,3250,0,0,0,3250,0
4,54,3704,3704,0,0,0,3704,0
4,55,3785,3785,0,0,0,3785,0
4,56,5213,5213,0,0,0,5213,0
4,57,4182,4182,0,0,0,4182,0
4,58,3863,3863,0,0,0,3863,0
4,59,3987,3987,0,0,0,3987,0
4,60,6004,6004,0,0,0,6004,0
4,61,4383,4383,0,0,0,4383,0
4,62,4472,4472,0,0,0,4472,0
4,63,5150,5150,0,0,0,5150,0
4,64,6557,6557,0,0,0,6557,0
4,65,5107,5107,0,0,0,5107,0
4,66,5773,5773,0,0,0,5773,0
4,67,4791,4791,0,0,0,4791,0
4,68,6260,6260,0,0,0,6260,0
4,69,6001,6001,0,0,0,6001,0
4,70,6205,6205,0,0,0,6205,0
4,71,5799,5799,0,0,0,5799,0
4,72,8710,8710,0,0,0,8710,0
4,73,5858,5858,0,0,0,5858,0
4,74,6223,6223,0,0,0,6223,0
4,75,7280,7280,0,0,0,7280,0
4,76,9507,9507,0,0,0,9507,0
4,77,6953,6953,0,0,0,6953,0
4,78,7917,7917,0,0,0,7917,0
4,79,6933,6933,0,0,0,6933,0
4,80,10208,10208,0,0,0,10208,0
4,81,8031,8031,0,0,0,8031,0
4,82,7939,7939,0,0,0,7939,0
4,83,7408,7408,0,0,0,7408,0
4,84,10993,10993,0,0,0,10993,0
4,85,8464,8464,0,0,0,8464,0
4,86,8568,8568,0,0,0,8568,0
4,87,9088,9088,0,0,0,9088,0
4,88,11767,11767,0,0,0,11767,0
4,89,9145,9145,0,0,0,9145,0
4,90,10765,10765,0,0,0,10765,0
4,91,9896,9896,0,0,0,9896,0
4,92,11188,11188,0,0,0,11188,0
4,93,10385,10385,0,0,0,10385,0
4,94,10153,10153,0,0,0,10153,0
4,95,10048,10048,0,0,0,10048,0
4,96,15447,15447,0,0,0,15447,0
4,97,10003,10003,0,0,0,10003,0
4,98,11249,11249,0,0,0,11249,0
4,99,12082,12082,0,0,0,12082,0
4,100,14037,14037,0,0,0,14037,0
4,101,11361,11361,0,0,0,11361,0
4,102,13068,13068,0,0,0,13068,0
4,103,10861,10861,0,0,0,10861,0
4,104,16150,16150,0,0,0,16150,0
4,105,14958,14958,0,0,0,14958,0
4,106,12338,12338,0,0,0,12338,0
4,107,12102,12102,0,0,0,12102,0
4,108,16509,16509,0,0,0,16509,0
4,109,12849,12849,0,0,0,12849,0
4,110,14390,14390,0,0,0,14390,0
4,111,15119,15119,0,0,0,15119,0
4,112,18964,18964,0,0,0,18964,0
4,113,13293,13293,0,0,0,13293,0
4,114,16769,16769,0,0,0,16769,0
4,115,14900,14900,0,0,0,14900,0
4,116,17484,17484,0,0,0,17484,0
4,117,16252,16252,0,0,0,16252,0
4,118,14963,14963,0,0,0,14963,0
4,119,16058,16058,0,0,0,16058,0
4,120,25126,25126,0,0,0,25126,0
4,121,16103,16103,0,0,0,16103,0
4,122,15670,15670,0,0,0,15670,0
4,123,17292,17292,0,0,0,17292,0
4,124,19682,19682,0,0,0,19682,0
4,125,17760,17760,0,0,0,17760,0
4,126,20720,20720,0,0,0,20720,0
4,127,17015,17015,0,0,0,17015,0
4,128,23185,23185,0,0,0,23185,0
