original_source_line,new_release_line,multiplicity,permutation_source_to_release
18,720,1,0;1;2;4;3
19,721,1,0;1;2;4;3
20,739,1,0;1;3;2;4
21,2801,1,0;1;2;3;4
22,744,1,0;1;3;2;4
23,988,1,0;1;3;2;4
24,745,1,0;1;3;2;4
25,989,1,0;1;2;4;3
26,8794,1,0;1;2;4;3
27,6512,1,0;4;3;2;1
28,33,1,0;1;2;3;4
29,61,1,0;1;2;3;4
30,42,1,0;1;2;3;4
31,43,1,0;1;2;3;4
32,34,1,0;1;2;3;4
33,718,1,0;1;2;4;3
375,2978,2,0;1;3;4;2
376,722,2,0;1;2;4;3
377,1264,2,0;1;3;2;4
378,2809,2,0;1;2;4;3
379,2811,2,0;1;2;4;3
380,4117,2,0;1;4;2;3
381,2810,2,0;1;2;4;3
382,751,2,0;1;2;4;3
383,749,2,0;1;3;2;4
384,1216,2,0;1;3;2;4
385,6632,2,0;4;2;3;1
386,11145,2,0;1;2;4;3
387,994,2,0;1;3;2;4
388,2802,2,0;1;4;2;3
389,2902,2,0;1;4;2;3
390,750,2,0;1;2;4;3
391,740,2,0;1;3;2;4
392,10343,2,0;1;2;3;4
393,990,2,0;1;2;4;3
394,8808,2,0;1;2;4;3
395,6944,2,0;3;2;4;1
396,9369,2,0;1;2;3;4
397,8805,2,0;4;2;3;1
398,6538,2,0;1;4;2;3
399,8765,2,0;4;3;1;2
400,6965,2,0;1;2;3;4
401,8766,2,0;1;2;3;4
402,6961,2,0;4;2;3;1
403,85,2,0;1;2;3;4
404,87,2,0;1;2;3;4
405,312,2,0;2;1;3;4
406,318,2,0;1;2;3;4
407,44,2,0;1;2;3;4
408,86,2,0;1;2;3;4
409,64,2,0;1;2;3;4
410,374,2,0;1;2;3;4
411,719,2,0;1;2;3;4
1788,11614,3,0;1;2;3;4
1789,13265,3,0;3;1;2;4
1790,9537,3,0;1;2;3;4
1791,12361,3,0;1;2;3;4
1792,10425,3,0;4;3;1;2
1793,1265,3,0;1;3;2;4
1794,1483,3,0;1;3;2;4
1795,2851,3,0;1;4;3;2
1796,3416,3,0;1;2;3;4
1797,2996,3,0;1;3;4;2
1798,3351,3,0;1;2;3;4
1799,3352,3,0;1;2;3;4
1800,3371,3,0;1;2;4;3
1801,3375,3,0;1;2;4;3
1802,3350,3,0;1;2;3;4
1803,2794,3,0;1;4;3;2
1804,2931,3,0;1;4;3;2
1805,2906,3,0;1;3;4;2
1806,11134,3,0;1;2;3;4
1807,10440,3,0;1;4;2;3
1808,1049,3,0;1;3;2;4
1809,3798,3,0;1;3;4;2
1810,3755,3,0;1;3;4;2
1811,3674,3,0;1;2;3;4
1812,3673,3,0;1;4;3;2
1813,723,3,0;1;2;4;3
1814,808,3,0;1;3;2;4
1815,2812,3,0;1;2;4;3
1816,3368,3,0;1;2;3;4
1817,2806,3,0;1;4;3;2
1818,2907,3,0;1;3;4;2
1819,1471,3,0;1;2;4;3
1820,3001,3,0;1;3;4;2
1821,7086,3,0;4;3;2;1
1822,1048,3,0;1;3;2;4
1823,3744,3,0;1;2;3;4
1824,756,3,0;1;2;4;3
1825,755,3,0;1;3;2;4
1826,1220,3,0;1;3;2;4
1827,1430,3,0;1;3;2;4
1828,2890,3,0;1;2;3;4
1829,3055,3,0;1;3;2;4
1830,2883,3,0;1;4;3;2
1831,2982,3,0;1;4;3;2
1832,10350,3,0;1;2;3;4
1833,6672,3,0;4;2;3;1
1834,1045,3,0;1;3;2;4
1835,3653,3,0;1;3;4;2
1836,6952,3,0;4;3;2;1
1837,746,3,0;1;3;2;4
1838,995,3,0;1;2;4;3
1839,998,3,0;1;3;2;4
1840,7083,3,0;4;3;2;1
1841,10296,3,0;1;4;2;3
1842,7009,3,0;4;3;2;1
1843,10294,3,0;1;2;3;4
1844,6514,3,0;4;2;3;1
1845,6563,3,0;4;2;3;1
1846,10313,3,0;2;3;1;4
1847,6513,3,0;3;4;2;1
1848,7070,3,0;3;1;4;2
1849,8025,3,0;3;4;2;1
1850,6554,3,0;3;4;1;2
1851,6502,3,0;4;3;1;2
1852,8804,3,0;4;2;3;1
1853,6539,3,0;4;2;3;1
1854,6964,3,0;1;2;3;4
1855,90,3,0;1;2;3;4
1856,99,3,0;1;2;3;4
1857,326,3,0;2;1;3;4
1858,406,3,0;1;2;3;4
1859,407,3,0;1;2;3;4
1860,440,3,0;1;2;3;4
1861,445,3,0;2;1;3;4
1862,96,3,0;1;2;3;4
1863,381,3,0;2;1;3;4
1864,62,3,0;1;2;3;4
1865,383,3,0;2;1;3;4
1866,1,3,0;1;2;3;4
1867,4,3,0;1;2;3;4
1868,45,3,0;1;2;3;4
1869,97,3,0;1;2;3;4
2868,11613,4,0;1;2;3;4
2869,13255,4,0;1;2;3;4
2870,11694,4,0;2;1;3;4
2871,13443,4,0;1;2;3;4
2872,15313,4,0;1;2;4;3
2873,14757,4,0;3;4;1;2
2874,14802,4,0;1;2;3;4
2875,14288,4,0;4;1;3;2
2876,13896,4,0;4;2;3;1
2877,13898,4,0;1;4;3;2
2878,9536,4,0;1;2;3;4
2879,11466,4,0;3;2;4;1
2880,10616,4,0;4;3;1;2
2881,1484,4,0;1;2;4;3
2882,1281,4,0;1;2;4;3
2883,812,4,0;1;3;2;4
2884,1280,4,0;1;3;2;4
2885,1691,4,0;1;3;2;4
2886,4243,4,0;1;3;2;4
2887,3002,4,0;1;4;3;2
2888,10868,4,0;3;4;2;1
2889,7062,4,0;4;3;2;1
2890,13959,4,0;4;3;1;2
2891,3414,4,0;1;2;3;4
2892,2997,4,0;1;3;4;2
2893,3806,4,0;1;2;3;4
2894,3900,4,0;1;3;2;4
2895,3822,4,0;1;2;4;3
2896,3019,4,0;1;4;3;2
2897,3687,4,0;1;4;3;2
2898,9585,4,0;4;3;2;1
2899,3353,4,0;1;2;3;4
2900,3379,4,0;1;2;3;4
2901,3380,4,0;1;2;4;3
2902,3675,4,0;1;2;3;4
2903,2908,4,0;1;2;3;4
2904,4521,4,0;1;2;3;4
2905,4256,4,0;1;3;4;2
2906,4563,4,0;1;2;3;4
2907,4226,4,0;1;2;3;4
2908,4118,4,0;1;4;2;3
2909,2864,4,0;1;4;2;3
2910,2944,4,0;1;4;3;2
2911,2916,4,0;1;3;4;2
2912,12217,4,0;4;3;1;2
2913,12190,4,0;4;1;3;2
2914,13958,4,0;4;3;1;2
2915,6646,4,0;4;3;2;1
2916,2915,4,0;1;4;2;3
2917,3412,4,0;1;2;3;4
2918,3686,4,0;1;4;3;2
2919,2929,4,0;1;4;2;3
2920,9057,4,0;4;2;3;1
2921,9417,4,0;4;3;2;1
2922,724,4,0;1;2;4;3
2923,1667,4,0;1;2;4;3
2924,811,4,0;1;3;2;4
2925,805,4,0;1;3;2;4
2926,1482,4,0;1;3;2;4
2927,1279,4,0;1;3;2;4
2928,2813,4,0;1;2;4;3
2929,2903,4,0;1;3;2;4
2930,11163,4,0;1;4;2;3
2931,1268,4,0;1;2;4;3
2932,2795,4,0;1;4;3;2
2933,14125,4,0;1;2;3;4
2934,10438,4,0;4;1;3;2
2935,3069,4,0;1;2;3;4
2936,2855,4,0;1;4;3;2
2937,4280,4,0;1;2;3;4
2938,2830,4,0;1;4;3;2
2939,10800,4,0;3;4;1;2
2940,10714,4,0;1;2;4;3
2941,3825,4,0;1;4;3;2
2942,8977,4,0;4;3;2;1
2943,9360,4,0;4;3;2;1
2944,752,4,0;1;3;2;4
2945,2803,4,0;1;4;3;2
2946,1217,4,0;1;2;4;3
2947,760,4,0;1;2;4;3
2948,759,4,0;1;3;2;4
2949,1224,4,0;1;3;2;4
2950,1434,4,0;1;3;2;4
2951,1632,4,0;1;3;2;4
2952,2829,4,0;1;3;4;2
2953,8932,4,0;3;4;1;2
2954,12157,4,0;1;2;3;4
2955,8860,4,0;4;3;1;2
2956,6714,4,0;4;2;3;1
2957,9432,4,0;2;3;4;1
2958,8795,4,0;4;2;1;3
