original_source_line,new_release_line,multiplicity,permutation_source_to_release
34,1,1,0;1;2;5;3;4
35,2,1,0;1;2;5;3;4
36,8,1,0;1;2;5;3;4
37,433,1,0;2;3;5;1;4
38,437,1,0;2;3;5;1;4
39,29,1,0;1;4;5;2;3
40,1885,1,0;1;2;3;4;5
41,2268,1,0;1;2;3;4;5
42,697,1,0;1;4;5;2;3
43,722,1,0;1;4;5;2;3
44,1970,1,0;1;3;2;4;5
45,2269,1,0;1;2;3;4;5
46,1039,1,0;1;4;5;2;3
47,467,1,0;1;3;2;4;5
48,117,1,0;1;3;4;2;5
49,35,1,0;1;2;5;3;4
50,1042,1,0;1;2;3;5;4
51,3018,1,0;5;3;4;2;1
52,3941,1,0;1;3;4;5;2
53,3474,1,0;5;1;2;4;3
54,5019,1,0;3;5;4;1;2
55,4902,1,0;5;3;4;1;2
56,4988,1,0;4;5;3;1;2
57,4903,1,0;5;3;4;1;2
58,4909,1,0;5;3;4;1;2
59,5290,1,0;4;5;3;1;2
60,4997,1,0;3;4;5;1;2
61,5020,1,0;3;5;4;1;2
62,5298,1,0;3;4;5;1;2
63,5291,1,0;4;5;3;1;2
64,5301,1,0;3;5;4;1;2
65,5709,1,0;5;2;1;3;4
66,5700,1,0;5;1;2;3;4
67,5710,1,0;5;1;2;3;4
68,5711,1,0;5;1;2;3;4
69,5719,1,0;5;1;2;3;4
70,5701,1,0;5;1;2;3;4
71,5725,1,0;5;1;2;3;4
72,5726,1,0;5;1;2;3;4
412,2028,2,0;1;4;5;3;2
413,39,2,0;1;5;4;3;2
414,150,2,0;1;3;4;2;5
415,3,2,0;1;2;5;3;4
416,14,2,0;1;2;5;3;4
417,636,2,0;1;2;3;4;5
418,638,2,0;1;2;3;4;5
419,645,2,0;1;2;3;5;4
420,750,2,0;1;4;2;3;5
421,801,2,0;1;4;2;3;5
422,637,2,0;1;2;3;4;5
423,654,2,0;1;2;3;4;5
424,1910,2,0;1;2;3;5;4
425,1912,2,0;1;2;3;5;4
426,2109,2,0;1;4;5;3;2
427,33,2,0;1;2;5;3;4
428,72,2,0;1;2;5;3;4
429,230,2,0;1;2;5;3;4
430,252,2,0;1;2;5;3;4
431,9,2,0;1;2;5;3;4
432,643,2,0;1;2;3;5;4
433,752,2,0;1;4;2;3;5
434,1911,2,0;1;2;3;5;4
435,785,2,0;1;4;5;2;3
436,1015,2,0;1;4;2;3;5
437,1345,2,0;1;4;2;3;5
438,1066,2,0;1;4;2;3;5
439,440,2,0;2;3;5;1;4
440,496,2,0;1;3;2;4;5
441,755,2,0;1;4;2;3;5
442,1017,2,0;1;4;2;3;5
443,680,2,0;1;4;5;2;3
444,1050,2,0;1;4;5;2;3
445,534,2,0;2;3;1;4;5
446,42,2,0;1;2;5;3;4
447,122,2,0;1;3;4;2;5
448,434,2,0;2;5;1;4;3
449,2272,2,0;1;2;3;4;5
450,2282,2,0;1;2;3;4;5
451,4628,2,0;1;3;4;5;2
452,1866,2,0;1;3;2;4;5
453,3222,2,0;1;3;5;4;2
454,4549,2,0;1;2;5;4;3
455,774,2,0;1;4;5;2;3
456,1340,2,0;1;4;5;2;3
457,723,2,0;1;4;5;2;3
458,558,2,0;1;2;3;4;5
459,449,2,0;1;3;4;2;5
460,517,2,0;1;2;5;3;4
461,698,2,0;1;4;5;2;3
462,1020,2,0;1;4;2;3;5
463,715,2,0;1;5;2;3;4
464,1989,2,0;1;3;2;4;5
465,716,2,0;1;2;3;5;4
466,711,2,0;1;4;5;2;3
467,1102,2,0;1;4;5;2;3
468,1093,2,0;1;4;5;2;3
469,514,2,0;1;2;5;3;4
470,226,2,0;1;2;5;3;4
471,41,2,0;1;2;5;3;4
472,31,2,0;1;3;4;2;5
473,123,2,0;1;3;4;2;5
474,684,2,0;1;2;3;5;4
475,782,2,0;1;2;3;4;5
476,776,2,0;1;4;5;2;3
477,453,2,0;1;3;4;5;2
478,2271,2,0;1;2;3;4;5
479,2281,2,0;1;2;3;4;5
480,4083,2,0;1;3;5;2;4
481,3979,2,0;1;3;4;2;5
482,2062,2,0;1;4;3;5;2
483,3012,2,0;4;5;1;3;2
484,1047,2,0;1;2;3;4;5
485,778,2,0;1;4;2;3;5
486,1041,2,0;1;4;5;2;3
487,1095,2,0;1;4;2;3;5
488,725,2,0;1;5;4;2;3
489,727,2,0;1;5;4;2;3
490,451,2,0;1;3;4;5;2
491,777,2,0;1;2;3;5;4
492,3116,2,0;3;5;4;2;1
493,3187,2,0;1;2;4;3;5
494,248,2,0;1;2;5;3;4
495,3156,2,0;1;4;3;2;5
496,526,2,0;1;4;2;3;5
497,3016,2,0;4;5;3;2;1
498,1043,2,0;1;4;2;3;5
499,454,2,0;1;4;3;5;2
500,3006,2,0;5;2;3;4;1
501,3082,2,0;5;2;1;3;4
502,3065,2,0;5;2;1;4;3
503,3138,2,0;5;2;3;4;1
504,3064,2,0;1;5;2;4;3
505,3469,2,0;3;1;2;4;5
506,3038,2,0;4;1;2;3;5
507,4467,2,0;1;2;3;4;5
508,4468,2,0;1;2;3;4;5
509,3466,2,0;5;4;2;3;1
510,3942,2,0;1;2;3;4;5
511,3471,2,0;1;2;4;3;5
512,3429,2,0;5;3;4;1;2
513,3433,2,0;1;2;3;4;5
514,5021,2,0;3;5;4;1;2
515,5389,2,0;4;5;3;1;2
516,4904,2,0;5;4;3;1;2
517,4915,2,0;5;3;4;1;2
518,4930,2,0;5;3;4;1;2
519,4932,2,0;5;3;4;1;2
520,4939,2,0;5;4;3;1;2
521,5388,2,0;4;5;3;1;2
522,5229,2,0;3;4;5;1;2
523,5356,2,0;3;4;5;1;2
