original_source_line,new_release_line,multiplicity,permutation_source_to_release
73,1,1,0;1;2;5;3;6;4
74,8,1,0;1;2;5;6;3;4
75,2,1,0;1;2;5;6;3;4
76,24,1,0;1;2;5;6;3;4
77,9,1,0;1;2;5;6;3;4
78,543,1,0;1;2;3;4;5;6
79,49,1,0;1;3;4;2;5;6
80,301,1,0;1;4;5;6;2;3
81,330,1,0;1;4;5;6;2;3
82,420,1,0;1;4;5;6;2;3
83,58,1,0;1;2;3;4;5;6
84,71,1,0;1;6;2;3;4;5
85,57,1,0;1;6;3;4;2;5
86,59,1,0;1;6;2;5;3;4
87,189,1,0;1;2;6;5;3;4
88,424,1,0;1;2;3;5;4;6
89,699,1,0;4;3;6;5;2;1
90,839,1,0;1;2;5;6;4;3
91,1039,1,0;3;6;5;4;1;2
92,1040,1,0;3;6;5;4;1;2
93,922,1,0;6;3;4;5;1;2
94,1015,1,0;4;5;3;6;1;2
95,924,1,0;6;4;5;3;1;2
96,923,1,0;6;4;3;5;1;2
97,1016,1,0;4;5;3;6;1;2
98,941,1,0;6;4;3;5;1;2
99,1157,1,0;4;5;3;6;1;2
100,925,1,0;6;4;5;3;1;2
101,998,1,0;5;6;4;3;1;2
102,1022,1,0;3;4;5;6;1;2
103,1169,1,0;3;4;5;6;1;2
104,1018,1,0;4;6;5;3;1;2
105,1046,1,0;3;5;6;4;1;2
106,1148,1,0;5;3;6;4;1;2
107,1173,1,0;3;5;4;6;1;2
108,1330,1,0;6;5;3;4;2;1
109,1331,1,0;6;5;3;4;2;1
110,1303,1,0;6;5;1;2;3;4
111,1304,1,0;6;5;1;2;3;4
112,1306,1,0;6;5;1;2;3;4
113,1357,1,0;5;6;1;2;3;4
114,1360,1,0;6;5;1;2;4;3
115,1418,1,0;1;2;3;4;5;6
566,674,2,0;1;2;3;4;5;6
567,579,2,0;1;5;6;4;3;2
568,256,2,0;1;2;3;4;5;6
569,258,2,0;1;2;3;4;5;6
570,263,2,0;1;2;3;4;5;6
571,267,2,0;1;2;3;4;5;6
572,271,2,0;1;2;3;4;5;6
573,283,2,0;1;2;3;4;5;6
574,508,2,0;1;4;5;6;2;3
575,40,2,0;1;2;5;3;4;6
576,4,2,0;1;2;5;3;4;6
577,6,2,0;1;2;5;3;4;6
