original_source_line,new_release_line,multiplicity,permutation_source_to_release
8,374,1,0;1;2;3
9,375,1,0;1;2;3
10,8759,1,0;1;2;3
11,503,1,0;1;2;3
12,29359,1,0;1;2;3
13,20114,1,0;1;2;3
14,1,1,0;1;2;3
15,130,1,0;1;2;3
16,133,1,0;1;2;3
17,2,1,0;1;2;3
358,376,2,0;1;2;3
359,631,2,0;1;2;3
360,8770,2,0;1;3;2
361,8836,2,0;1;2;3
362,8973,2,0;1;3;2
363,8835,2,0;1;2;3
364,504,2,0;1;2;3
365,29423,2,0;2;1;3
366,20246,2,0;3;2;1
367,8963,2,0;1;2;3
368,43810,2,0;1;2;3
369,33564,2,0;1;2;3
370,34907,2,0;1;2;3
371,20078,2,0;2;3;1
372,20115,2,0;1;2;3
373,3,2,0;1;2;3
374,135,2,0;1;2;3
1764,44415,3,0;1;2;3
1765,52180,3,0;1;2;3
1766,42960,3,0;3;1;2
1767,35050,3,0;1;2;3
1768,377,3,0;1;2;3
1769,632,3,0;1;2;3
1770,758,3,0;1;2;3
1771,8771,3,0;1;3;2
1772,8837,3,0;1;2;3
1773,8988,3,0;1;3;2
1774,50501,3,0;1;2;3
1775,8760,3,0;1;2;3
1776,9498,3,0;1;2;3
1777,505,3,0;1;2;3
1778,29487,3,0;1;2;3
1779,42806,3,0;3;1;2
1780,20344,3,0;3;1;2
1781,33565,3,0;3;1;2
1782,29360,3,0;1;3;2
1783,33531,3,0;3;1;2
1784,22887,3,0;3;2;1
1785,34906,3,0;1;2;3
1786,4,3,0;1;2;3
1787,138,3,0;1;2;3
2823,44516,4,0;1;2;3
2824,52673,4,0;1;2;3
2825,63007,4,0;3;1;2
2826,65278,4,0;1;2;3
2827,44414,4,0;1;2;3
2828,44033,4,0;1;2;3
2829,20089,4,0;3;1;2
2830,42783,4,0;3;1;2
2831,50523,4,0;3;1;2
2832,58846,4,0;1;2;3
2833,58595,4,0;1;3;2
2834,64408,4,0;1;2;3
2835,50524,4,0;2;1;3
2836,51723,4,0;3;1;2
2837,42784,4,0;3;2;1
2838,43946,4,0;2;3;1
2839,378,4,0;1;2;3
2840,633,4,0;1;2;3
2841,759,4,0;1;2;3
2842,884,4,0;1;2;3
2843,9596,4,0;1;2;3
2844,41939,4,0;1;2;3
2845,42974,4,0;1;3;2
2846,58721,4,0;1;3;2
2847,8838,4,0;1;2;3
2848,8974,4,0;1;2;3
2849,8994,4,0;1;3;2
2850,58658,4,0;1;3;2
2851,20238,4,0;3;2;1
2852,33541,4,0;3;1;2
2853,9587,4,0;1;2;3
2854,58594,4,0;2;1;3
2855,506,4,0;1;2;3
2856,29550,4,0;1;2;3
2857,20220,4,0;2;3;1
2858,33766,4,0;3;2;1
2859,50547,4,0;1;2;3
2860,20502,4,0;3;1;2
2861,42807,4,0;3;1;2
2862,34904,4,0;3;2;1
2863,29424,4,0;1;3;2
2864,34908,4,0;2;3;1
2865,5,4,0;1;2;3
2866,143,4,0;1;2;3
2867,141,4,0;1;2;3
5116,52672,5,0;1;2;3
5117,52821,5,0;1;2;3
5118,63015,5,0;1;3;2
5119,65716,5,0;1;2;3
5120,73642,5,0;1;2;3
5121,23466,5,0;3;2;1
5122,44517,5,0;3;2;1
5123,74611,5,0;3;1;2
5124,52350,5,0;1;2;3
5125,72005,5,0;1;2;3
5126,42961,5,0;3;1;2
5127,64504,5,0;3;2;1
5128,58909,5,0;1;2;3
5129,62849,5,0;1;2;3
5130,63014,5,0;1;3;2
5131,71805,5,0;1;3;2
5132,50790,5,0;3;1;2
5133,73044,5,0;1;3;2
5134,43938,5,0;3;2;1
5135,58659,5,0;1;3;2
5136,71797,5,0;1;3;2
5137,35159,5,0;3;1;2
5138,379,5,0;1;2;3
5139,634,5,0;1;2;3
5140,760,5,0;1;2;3
5141,885,5,0;1;2;3
5142,1009,5,0;1;2;3
5143,9515,5,0;1;2;3
5144,9722,5,0;1;2;3
5145,9508,5,0;1;3;2
5146,58784,5,0;1;2;3
5147,42928,5,0;3;1;2
5148,8839,5,0;1;2;3
5149,9005,5,0;1;3;2
5150,8995,5,0;1;3;2
5151,72878,5,0;2;1;3
5152,35161,5,0;3;2;1
5153,35058,5,0;3;2;1
5154,9706,5,0;1;2;3
5155,20128,5,0;1;3;2
5156,20079,5,0;2;3;1
5157,507,5,0;1;2;3
5158,8964,5,0;1;3;2
5159,29613,5,0;1;2;3
5160,33870,5,0;3;2;1
5161,50548,5,0;1;3;2
5162,62872,5,0;1;2;3
5163,20664,5,0;3;1;2
5164,29361,5,0;1;3;2
5165,42805,5,0;1;2;3
5166,20127,5,0;2;3;1
5167,29488,5,0;1;2;3
5168,20116,5,0;3;2;1
5169,6,5,0;1;2;3
5170,148,5,0;1;2;3
5923,82353,6,0;2;1;3
5924,44416,6,0;2;3;1
5925,63116,6,0;1;3;2
5926,64896,6,0;1;3;2
5927,65403,6,0;1;2;3
5928,52674,6,0;2;1;3
5929,65715,6,0;1;2;3
5930,65913,6,0;1;2;3
5931,72012,6,0;1;3;2
5932,50802,6,0;3;1;2
5933,82953,6,0;3;1;2
5934,75055,6,0;1;2;3
5935,20227,6,0;3;1;2
5936,50682,6,0;3;1;2
5937,79975,6,0;1;2;3
5938,80870,6,0;1;3;2
5939,82447,6,0;3;1;2
5940,52182,6,0;3;1;2
5941,44412,6,0;3;2;1
5942,44610,6,0;3;2;1
5943,83732,6,0;1;2;3
5944,52265,6,0;2;3;1
5945,73735,6,0;3;2;1
5946,33871,6,0;3;2;1
5947,63016,6,0;1;3;2
5948,79927,6,0;1;3;2
5949,35630,6,0;3;2;1
5950,35713,6,0;3;2;1
5951,51840,6,0;3;1;2
5952,58971,6,0;1;2;3
5953,58596,6,0;1;3;2
5954,58722,6,0;1;3;2
5955,50801,6,0;3;2;1
5956,51898,6,0;3;1;2
5957,82124,6,0;1;2;3
5958,71821,6,0;2;1;3
5959,51725,6,0;3;1;2
5960,62833,6,0;3;2;1
5961,33567,6,0;3;2;1
5962,73051,6,0;1;2;3
5963,62822,6,0;3;1;2
5964,33568,6,0;3;2;1
5965,35068,6,0;3;2;1
5966,380,6,0;1;2;3
5967,635,6,0;1;2;3
5968,761,6,0;1;2;3
5969,886,6,0;1;2;3
5970,1010,6,0;1;2;3
5971,1133,6,0;1;2;3
5972,9610,6,0;1;2;3
5973,9737,6,0;1;3;2
5974,9846,6,0;1;2;3
5975,9597,6,0;1;3;2
5976,41964,6,0;1;2;3
5977,50818,6,0;1;3;2
5978,58847,6,0;1;2;3
5979,63023,6,0;1;3;2
5980,43811,6,0;2;3;1
5981,8840,6,0;1;2;3
5982,9015,6,0;1;3;2
5983,20321,6,0;3;2;1
5984,33542,6,0;3;2;1
5985,33772,6,0;1;3;2
5986,35048,6,0;3;2;1
5987,9819,6,0;1;2;3
5988,51586,6,0;2;1;3
5989,22888,6,0;3;2;1
5990,508,6,0;1;2;3
5991,29675,6,0;1;2;3
5992,20299,6,0;2;3;1
5993,29425,6,0;1;3;2
5994,33962,6,0;3;2;1
5995,62873,6,0;1;3;2
5996,71863,6,0;1;2;3
5997,20723,6,0;3;1;2
5998,43969,6,0;3;1;2
5999,63115,6,0;1;3;2
6000,72020,6,0;1;2;3
6001,29551,6,0;1;2;3
6002,7,6,0;1;2;3
6003,152,6,0;1;2;3
7219,90958,7,0;2;1;3
7220,64847,7,0;1;2;3
7221,52264,7,0;3;1;2
7222,82999,7,0;3;2;1
7223,74718,7,0;1;2;3
7224,90559,7,0;3;1;2
7225,75054,7,0;1;2;3
7226,75158,7,0;1;2;3
7227,79956,7,0;1;3;2
7228,81036,7,0;1;3;2
7229,82445,7,0;1;3;2
7230,52390,7,0;3;2;1
7231,84057,7,0;1;2;3
7232,89111,7,0;1;3;2
7233,20334,7,0;3;2;1
7234,91527,7,0;1;2;3
7235,50803,7,0;3;1;2
7236,64829,7,0;3;1;2
7237,64966,7,0;3;2;1
7238,65280,7,0;3;1;2
7239,92292,7,0;1;2;3
7240,52822,7,0;3;2;1
7241,20504,7,0;1;3;2
7242,63233,7,0;1;3;2
7243,80891,7,0;1;2;3
7244,80857,7,0;1;3;2
7245,88925,7,0;1;2;3
7246,89023,7,0;1;2;3
7247,50791,7,0;3;1;2
7248,52184,7,0;3;1;2
7249,35631,7,0;3;2;1
7250,36310,7,0;3;2;1
7251,91148,7,0;1;3;2
7252,82153,7,0;3;2;1
7253,59033,7,0;1;2;3
7254,58785,7,0;1;3;2
7255,63232,7,0;1;3;2
7256,20250,7,0;3;2;1
7257,20503,7,0;3;2;1
7258,81035,7,0;1;3;2
7259,88917,7,0;1;2;3
7260,88734,7,0;1;3;2
7261,63211,7,0;3;1;2
7262,89902,7,0;1;3;2
7263,90013,7,0;1;3;2
7264,44079,7,0;3;1;2
7265,22982,7,0;3;2;1
7266,58660,7,0;1;3;2
7267,20322,7,0;3;2;1
7268,35051,7,0;3;2;1
7269,33752,7,0;3;2;1
7270,381,7,0;1;2;3
7271,636,7,0;1;2;3
7272,762,7,0;1;2;3
7273,887,7,0;1;2;3
7274,1011,7,0;1;2;3
7275,1134,7,0;1;2;3
7276,1256,7,0;1;2;3
7277,9715,7,0;1;2;3
7278,9728,7,0;1;2;3
7279,9840,7,0;1;2;3
7280,9847,7,0;1;2;3
7281,9990,7,0;1;2;3
7282,9521,7,0;1;3;2
7283,43829,7,0;1;2;3
7284,58910,7,0;1;2;3
7285,51933,7,0;3;1;2
7286,8841,7,0;1;2;3
7287,9024,7,0;1;3;2
7288,8975,7,0;1;3;2
7289,9006,7,0;1;3;2
7290,50696,7,0;1;2;3
7291,34918,7,0;3;1;2
7292,9976,7,0;1;2;3
7293,9499,7,0;1;3;2
7294,509,7,0;1;2;3
7295,29737,7,0;1;2;3
7296,29489,7,0;1;3;2
7297,33594,7,0;1;2;3
7298,33519,7,0;2;3;1
7299,34025,7,0;3;2;1
7300,71864,7,0;1;3;2
7301,80786,7,0;1;2;3
7302,20809,7,0;3;1;2
7303,33566,7,0;3;1;2
7304,33595,7,0;3;2;1
7305,29362,7,0;1;3;2
7306,29614,7,0;1;2;3
7307,33532,7,0;3;2;1
7308,8,7,0;1;2;3
7309,136,7,0;1;2;3
7310,156,7,0;1;2;3
8775,64846,8,0;1;2;3
8776,52675,8,0;2;3;1
8777,64976,8,0;3;1;2
8778,102698,8,0;2;1;3
8779,74091,8,0;1;3;2
8780,74313,8,0;1;2;3
8781,65339,8,0;3;1;2
8782,65717,8,0;2;1;3
8783,91585,8,0;3;2;1
8784,81043,8,0;1;3;2
8785,82850,8,0;1;3;2
8786,65334,8,0;2;3;1
8787,83804,8,0;1;2;3
8788,84056,8,0;1;2;3
8789,84148,8,0;1;2;3
8790,89029,8,0;1;3;2
8791,23388,8,0;2;3;1
8792,23392,8,0;2;1;3
8793,92692,8,0;1;2;3
8794,20308,8,0;3;1;2
8795,97202,8,0;1;2;3
8796,63105,8,0;3;1;2
8797,97252,8,0;1;2;3
8798,81025,8,0;3;1;2
8799,97277,8,0;1;2;3
