source_line,representative_source_line,clean_line,rank,multiplicity,kind,permutation_source_to_representative
1,1,1,4,1,retained,0;1;2;3
2,2,2,4,1,retained,0;1;2;3
3,3,3,4,2,retained,0;1;2;3
4,4,4,4,1,retained,0;1;2;3
5,5,5,4,1,retained,0;1;2;3
6,6,6,4,2,retained,0;1;2;3
7,7,7,4,1,retained,0;1;2;3
8,8,8,4,1,retained,0;1;2;3
9,9,9,4,2,retained,0;1;2;3
10,10,10,4,1,retained,0;1;2;3
11,11,11,4,2,retained,0;1;2;3
12,12,12,4,2,retained,0;1;2;3
13,13,13,4,1,retained,0;1;2;3
14,14,14,4,2,retained,0;1;2;3
15,15,15,4,2,retained,0;1;2;3
16,16,16,4,2,retained,0;1;2;3
17,17,17,4,2,retained,0;1;2;3
18,18,18,4,2,retained,0;1;2;3
19,19,19,4,2,retained,0;1;2;3
20,20,20,4,1,retained,0;1;2;3
21,21,21,4,2,retained,0;1;2;3
22,22,22,4,2,retained,0;1;2;3
23,23,23,4,1,retained,0;1;2;3
24,24,24,4,2,retained,0;1;2;3
25,25,25,4,2,retained,0;1;2;3
26,26,26,4,2,retained,0;1;2;3
27,27,27,4,2,retained,0;1;2;3
