source_line,representative_source_line,clean_line,rank,multiplicity,kind,permutation_source_to_representative
1,1,1,5,1,retained,0;1;2;3;4
2,2,2,5,1,retained,0;1;2;3;4
3,3,3,5,1,retained,0;1;2;3;4
4,4,4,5,1,retained,0;1;2;3;4
5,5,5,5,2,retained,0;1;2;3;4
6,6,6,5,1,retained,0;1;2;3;4
7,7,7,5,2,retained,0;1;2;3;4
8,8,8,5,2,retained,0;1;2;3;4
9,9,9,5,2,retained,0;1;2;3;4
10,10,10,5,2,retained,0;1;2;3;4
11,11,11,5,2,retained,0;1;2;3;4
12,12,12,5,2,retained,0;1;2;3;4
13,13,13,5,2,retained,0;1;2;3;4
14,14,14,5,1,retained,0;1;2;3;4
15,15,15,5,2,retained,0;1;2;3;4
16,16,16,5,1,retained,0;1;2;3;4
17,17,17,5,1,retained,0;1;2;3;4
18,18,18,5,2,retained,0;1;2;3;4
19,19,19,5,1,retained,0;1;2;3;4
20,20,20,5,2,retained,0;1;2;3;4
21,21,21,5,1,retained,0;1;2;3;4
22,22,22,5,1,retained,0;1;2;3;4
23,23,23,5,2,retained,0;1;2;3;4
24,24,24,5,2,retained,0;1;2;3;4
25,25,25,5,2,retained,0;1;2;3;4
26,26,26,5,1,retained,0;1;2;3;4
27,27,27,5,1,retained,0;1;2;3;4
28,28,28,5,2,retained,0;1;2;3;4
29,29,29,5,2,retained,0;1;2;3;4
30,30,30,5,2,retained,0;1;2;3;4
31,31,31,5,2,retained,0;1;2;3;4
32,32,32,5,1,retained,0;1;2;3;4
33,33,33,5,2,retained,0;1;2;3;4
34,34,34,5,2,retained,0;1;2;3;4
35,35,35,5,2,retained,0;1;2;3;4
36,36,36,5,2,retained,0;1;2;3;4
37,37,37,5,2,retained,0;1;2;3;4
38,38,38,5,2,retained,0;1;2;3;4
39,39,39,5,2,retained,0;1;2;3;4
40,40,40,5,1,retained,0;1;2;3;4
41,41,41,5,2,retained,0;1;2;3;4
42,42,42,5,2,retained,0;1;2;3;4
43,43,43,5,2,retained,0;1;2;3;4
44,44,44,5,2,retained,0;1;2;3;4
45,45,45,5,2,retained,0;1;2;3;4
46,46,46,5,2,retained,0;1;2;3;4
47,47,47,5,2,retained,0;1;2;3;4
48,48,48,5,1,retained,0;1;2;3;4
49,49,49,5,2,retained,0;1;2;3;4
50,50,50,5,2,retained,0;1;2;3;4
51,51,51,5,2,retained,0;1;2;3;4
52,52,52,5,2,retained,0;1;2;3;4
53,53,53,5,2,retained,0;1;2;3;4
